Flight No.,Date and time (UTC),Version Booster,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Booster landing,Date,Time
18,2015-04-27 23:03:00,F9 v1.1[,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,4707.0,GTO,Turkmenistan NationalSpace Agency,Success,No attempt,27 April 2015,23:03
19,2015-06-28 14:21:00,F9 v1.1[,Cape Canaveral,SpaceX CRS-7,1952.0,LEO,NASA,Failure,Precluded,28 June 2015,14:21
20,2015-12-22 01:29:00,F9 FT[,Cape Canaveral,Orbcomm-OG2,2034.0,LEO,Orbcomm,Success,Success,22 December 2015,01:29
21,2016-01-17 18:42:00,F9 v1.1[,VAFB,Jason-3,553.0,LEO,NASA,Success,Failure,17 January 2016,18:42
22,2016-03-04 23:35:00,F9 FT[,Cape Canaveral,SES-9,5271.0,GTO,SES,Success,Failure,4 March 2016,23:35
23,2016-04-08 20:43:00,F9 FT[,Cape Canaveral,SpaceX CRS-8,3136.0,LEO,NASA,Success,Success,8 April 2016,20:43
24,2016-05-06 05:21:00,F9 FT[,Cape Canaveral,JCSAT-14,4696.0,GTO,SKY Perfect JSAT Group,Success,Success,6 May 2016,05:21
25,2016-05-27 21:39:00,F9 FT[,Cape Canaveral,Thaicom 8,3100.0,GTO,Thaicom,Success,Success,27 May 2016,21:39
26,2016-06-15 14:29:00,F9 FT[,Cape Canaveral,ABS-2A,3600.0,GTO,ABS,Success,Failure,15 June 2016,14:29
27,2016-07-18 04:45:00,F9 FT[,Cape Canaveral,SpaceX CRS-9,2257.0,LEO,NASA,Success,Success,18 July 2016,04:45
28,2016-08-14 05:26:00,F9 FT[,Cape Canaveral,JCSAT-16,4600.0,GTO,SKY Perfect JSAT Group,Success,Success,14 August 2016,05:26
29,2017-01-14 17:54:00,F9 FT[,VAFB,Iridium NEXT,9600.0,Polar,Iridium Communications,Success,Success,14 January 2017,17:54
30,2017-02-19 14:39:00,F9 FT[,KSC,SpaceX CRS-10,2490.0,LEO,NASA,Success,Success,19 February 2017,14:39
31,2017-03-16 06:00:00,F9 FT[,KSC,EchoStar 23,5600.0,GTO,EchoStar,Success,No attempt,16 March 2017,06:00
32,2017-03-30 22:27:00,F9 FT♺[,KSC,SES-10,5300.0,GTO,SES,Success,Success,30 March 2017,22:27
33,2017-05-01 11:15:00,F9 FT[,KSC,NROL-76,7233.227272727273,LEO,NRO,Success,Success,1 May 2017,11:15
34,2017-05-15 23:21:00,F9 FT[,KSC,Inmarsat-5 F4,6070.0,GTO,Inmarsat,Success,No attempt,15 May 2017,23:21
35,2017-06-03 21:07:00,F9 FT[,KSC,SpaceX CRS-11,2708.0,LEO,NASA,Success,Success,3 June 2017,21:07
36,2017-06-23 19:10:00,F9 FTB1029.2195,KSC,BulgariaSat-1,3669.0,GTO,Bulsatcom,Success,Success,23 June 2017,19:10
37,2017-06-25 20:25:00,F9 FT[,VAFB,Iridium NEXT,9600.0,LEO,Iridium Communications,Success,Success,25 June 2017,20:25
38,2017-07-05 23:38:00,F9 FT[,KSC,Intelsat 35e,6761.0,GTO,Intelsat,Success,No attempt,5 July 2017,23:38
39,2017-08-14 16:31:00,F9 B4[,KSC,SpaceX CRS-12,3310.0,LEO,NASA,Success,Success,14 August 2017,16:31
40,2017-08-24 18:51:00,F9 FT[,VAFB,Formosat-5,475.0,SSO,NSPO,Success,Success,24 August 2017,18:51
41,2017-09-07 14:00:00,F9 B4[,KSC,Boeing X-37B,4990.0,LEO,USAF,Success,Success,7 September 2017,14:00
42,2017-10-09 12:37:00,F9 B4[,VAFB,Iridium NEXT,9600.0,Polar,Iridium Communications,Success,Success,9 October 2017,12:37
43,2017-10-11 22:53:00,F9 FTB1031.2220,KSC,SES-11,5200.0,GTO,SES S.A.,Success,Success,11 October 2017,22:53:00
44,2017-10-30 19:34:00,F9 B4[,KSC,Koreasat 5A,3500.0,GTO,KT Corporation,Success,Success,30 October 2017,19:34
45,2017-12-15 15:36:00,F9 FTB1035.2227,Cape Canaveral,SpaceX CRS-13,2205.0,LEO,NASA,Success,Success,15 December 2017,15:36
46,2017-12-23 01:27:00,F9 FTB1036.2227,VAFB,Iridium NEXT,9600.0,Polar,Iridium Communications,Success,Controlled,23 December 2017,01:27
47,2018-01-08 01:00:00,F9 B4[,CCAFS,Zuma,7233.227272727273,LEO,Northrop Grumman,Success,Success,8 January 2018,01:00
48,2018-01-31 21:25:00,F9 FTB1032.2245,CCAFS,GovSat-1,4230.0,GTO,SES,Success,Controlled,31 January 2018,21:25
49,2018-02-22 14:17:00,F9 FTB1038.2268,VAFB,Paz,2150.0,SSO,Hisdesat,Success,No attempt,22 February 2018,14:17
50,2018-03-06 05:33:00,F9 B4[,CCAFS,Hispasat 30W-6,6092.0,GTO,Hispasat,Success,No attempt,6 March 2018,05:33
51,2018-03-30 14:14:00,F9 B4B1041.2268,VAFB,Iridium NEXT,9600.0,Polar,Iridium Communications,Success,No attempt,30 March 2018,14:14
52,2018-04-02 20:30:00,F9 B4B1039.2292,CCAFS,SpaceX CRS-14,2647.0,LEO,NASA,Success,No attempt,2 April 2018,20:30
53,2018-04-18 22:51:00,F9 B4[,CCAFS,Transiting Exoplanet Survey Satellite,362.0,HEO,NASA,Success,Success,18 April 2018,22:51
54,2018-05-11 20:14:00,F9 B5311B1046.1268,KSC,Bangabandhu-1,3600.0,GTO,Thales-Alenia,Success,Success,11 May 2018,20:14
55,2018-05-22 19:47:00,F9 B4B1043.2322,VAFB,Iridium NEXT,6460.0,Polar,Iridium Communications,Success,No attempt,22 May 2018,19:47
56,2018-06-04 04:45:00,F9 B4B1040.2268,CCAFS,SES-12,5384.0,GTO,SES,Success,No attempt,4 June 2018,04:45
57,2018-06-29 09:42:00,F9 B4B1045.2336,CCAFS,SpaceX CRS-15,2697.0,LEO,NASA,Success,No attempt,29 June 2018,09:42
58,2018-07-22 05:50:00,F9 B5,CCAFS,Telstar 19V,7075.0,GTO,Telesat,Success,Success,22 July 2018,05:50
